                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4705,                 6.2304,                0.54079,                 1.3234,                 1.9055,                0.69396,                0.69159,                0.74648,                0.43363,                0.10944,                 0.1215,                0.02386,                0.00627,                 2.4528,                  6.985,                0.61314,                 1.4465,                 3.8495,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4378,                 6.1755,                 0.5506,                 1.2598,                 1.8803,                0.83558,                0.66355,                0.76353,                   0.44,                0.13132,                0.13084,                0.03152,                 0.0073,                 2.4317,                 7.2123,                0.61725,                 1.4757,                  3.801,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4342,                 5.8891,                0.53935,                 1.2796,                 1.8964,                0.69985,                 0.6729,                0.73871,                0.46096,                0.13841,                0.14019,                0.03828,                0.00933,                 2.4053,                 7.0531,                0.61114,                 1.4155,                  3.662,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4657,                 6.1058,                 0.5506,                 1.2907,                 1.8897,                  0.796,                0.61996,                0.72026,                0.46571,                0.14662,                0.14953,                0.03651,                0.00934,                 2.3461,                 7.0738,                0.61271,                 1.3357,                  3.557,               0.000713,               0.000713,               0.000713
                     67,                 1.3589,                 6.1264,                0.55091,                 1.1984,                 1.8064,                0.71527,                0.65738,                0.72648,                0.43764,                0.13836,                0.14953,                0.03613,                0.00871,                 2.4899,                 7.1096,                0.62393,                 1.4002,                 3.8074,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3714,                 5.7417,                0.54343,                 1.2086,                 1.8363,                0.74499,                0.70987,                0.76287,                0.46316,                0.12061,                0.15888,                0.04016,                0.00936,                 2.4639,                 7.1187,                0.61435,                 1.2663,                 3.7388,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4187,                 5.9257,                0.54477,                  1.243,                 1.8516,                0.65562,                0.65421,                0.71099,                0.43193,                0.16798,                0.16822,                0.06087,                0.01644,                 2.4163,                 6.9132,                0.62546,                 1.3042,                 3.6518,              0.0006536,              0.0006536,              0.0006536
                     70,                   1.37,                 6.0317,                0.53648,                 1.1892,                 1.8453,                0.74563,                0.65749,                0.76854,                0.47053,                0.13033,                0.15888,                0.03439,                0.00795,                  2.421,                 7.0417,                0.61906,                 1.2811,                 3.7191,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3943,                 5.7331,                0.52624,                  1.197,                 1.8502,                 0.7852,                0.64912,                0.76367,                0.45065,                0.16553,                0.16822,                0.04475,                0.01038,                 2.4039,                 6.7881,                0.60446,                 1.2943,                 3.8359,               0.000614,               0.000614,               0.000614
                     72,                 1.3781,                 5.8005,                0.52206,                 1.2343,                  1.839,                0.72306,                0.70093,                0.74058,                0.45951,                0.16323,                0.17757,                0.06024,                0.01462,                 2.3458,                  6.926,                0.61297,                  1.307,                 3.7062,              0.0005942,              0.0005942,              0.0005942
